userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Nama Depan,1,2024-09-27 10:32:00,"APK selalu minta update, produk di dalam terbatas fashion, dan gadget. Pencarian melalui kata kunci, tidak bisa dan disuruh via website yuap.id atau BL versi web. Lol kalo gitu buat apa bikin apk ??",27,9,2024,10,32,0
Wasis Prayitno,5,2024-09-27 06:21:22,Keren,27,9,2024,6,21,22
intan andini,1,2024-09-27 01:29:08,"Ga jelas bnget bukalapak di perbarui bukanya nambah bagus ini malah nambah jelek, saldo gue ga bisa di ambil jadi gue coba pindahin ke dana tapi koneksi terganggu terus udah sebulan begini, udah coba komplen ke pengaduanga tapi ga ada hasil nya",27,9,2024,1,29,8
Ravikal,1,2024-09-27 00:07:05,"Apk lucu, tiba2 ada tagihan padahal sblmnya ga ada transaksi apa2, mana kolektor nelpon pke ngancem mau gebukin haha, tolong di urus biar bener nih apk kocak ini.",27,9,2024,0,7,5
Ngadiyono Ngadiyono,1,2024-09-26 23:01:09,"Aplikasi ini gampang di bobol orang yg tidak bertanggung jawab, Aplikasi DANA saya yg saya hubungkan di aplikasi ini di bobol orang. Pihak BUKALAPAK tidak bisa mengembalikan saldo saya.",26,9,2024,23,1,9
Yt Music,1,2024-09-26 11:42:43,Lama proses nyah,26,9,2024,11,42,43
Ismajaya,5,2024-09-26 07:46:41,"Bayar PBB praktis, Belanja juga praktis, banyak pilihan, efisien & lebih hemat, duduk manis barang sampe rumah, low cost.. eh hemat biaya, hemat waktu 🤗 dan ""Bukalapak sangat responsif dlm menyelesaikan komplain"" 👍",26,9,2024,7,46,41
Deden Ramdhani,1,2024-09-26 05:40:57,"Isi pulsa padahal cuma 50 ribu ga masuk masuk, padahal sudah enak pake BL maaf ini transaksi yang terakhir kali",26,9,2024,5,40,57
Uung Rumli,5,2024-09-26 04:23:51,Nyaman terpercaya,26,9,2024,4,23,51
Aswin Tengku,5,2024-09-26 01:13:12,👍👍👍👍👍,26,9,2024,1,13,12
Fauzan Alfahri,1,2024-09-25 18:41:34,Aplikasi ga bermutu,25,9,2024,18,41,34
Bang Yudieee,1,2024-09-25 16:26:43,"Verifikasi data untuk menjadi pelapak lebih dari 12 hari, auto uninstal. Terimakasih atas waktu nya!!!!",25,9,2024,16,26,43
iseu nurul wahidah,1,2024-09-25 15:25:21,Aplikasi busuk..saldo hilang di aplikasi ini,25,9,2024,15,25,21
Feri Saputra,5,2024-09-25 14:03:32,Terbaik,25,9,2024,14,3,32
Zuki GRN,5,2024-09-25 13:25:04,Good,25,9,2024,13,25,4
fajar maulana,1,2024-09-25 11:36:48,PERNAH JAYA PADA MASANYA SEBAGAI SELLER DIBUKALAPAK SEBELUM AKHIRNYA TOKO SAYA DIBEKUKAN SEPIHAK ... TERIMAKASIH BUKALAPAK,25,9,2024,11,36,48
Perwhira Studio,5,2024-09-25 11:07:05,luarbiasa,25,9,2024,11,7,5
Khadut Gaming,1,2024-09-25 10:40:47,Bukalapak buruk sekarang pelayanan cs nya susah di hubungi nya,25,9,2024,10,40,47
atik siswati,2,2024-09-25 09:12:14,"Pernah kecewa, waktu beli emas, trus data di bukalapak hilang, mana sempat saya ss transaksi saya, saya pikir smua sdh trdata di aplikasi bukalapak",25,9,2024,9,12,14
Imam Bukori,1,2024-09-25 09:01:49,"Mengecewakan, saya lebih tertarik aplikasi sebelah",25,9,2024,9,1,49
Sumono Mono,5,2024-09-25 07:25:03,Mempermudah,25,9,2024,7,25,3
zainal muchlisin,5,2024-09-25 04:55:03,Bagus,25,9,2024,4,55,3
Ahmad Mustofa,5,2024-09-25 02:16:00,good,25,9,2024,2,16,0
ari irawan,5,2024-09-24 22:59:26,"Balik lagi gunain ""bukalapak"".. sudah banyak potongan lagi.. terimakasih.. tambah sukses ya",24,9,2024,22,59,26
ari anak baik,1,2024-09-24 18:23:57,hati hati apk yang sering di salah gunakan oleh oknum buat penipuan,24,9,2024,18,23,57
Joseph Surya,5,2024-09-24 13:00:27,"Semakin sukses bukalapak,memberikan kemudahan dalam pilihan barang dan mudah untuk bertransaksi, sukses selalu Top...",24,9,2024,13,0,27
Usman Sholahudin,1,2024-09-24 11:30:15,"Mau jual barang aja susah betul banyak yg harus di isi, pdhal kategori barang sdh sesuai ttp gak bisa alasan nya gak sesuai kategori",24,9,2024,11,30,15
Giogino Gwen,2,2024-09-24 03:44:50,Mall Shop Shopping Aplikasi Bukalapak App SerGio14 😍😍😍,24,9,2024,3,44,50
Dzx D.R,1,2024-09-24 00:21:29,"Verifikasi nomor aja susah amat, Daritadi nungguin SMS muncul aja buat dapetin kode gak ada, giliran masukin password sendiri gak bisa, Password tidak valid, pertanyaan nya gimana caranya dapetin kode verifikasi??",24,9,2024,0,21,29
ummi hardianti,5,2024-09-23 22:25:28,bukalapak sekarang barang-barangnya mahal ya....disebelah hijau dan orange murah2 ada apa dengan bukalapak....,23,9,2024,22,25,28
Indra lesmana tisen,1,2024-09-23 20:36:17,Bukalapak binatang...kalau mau nipu cari lh yang berkelas sedikit...tutup saja Bukalapak anda ini binatang..jangan kalian coba download buka lapak pepek,23,9,2024,20,36,17
Agung Ambon,1,2024-09-23 17:09:54,"Sempat jaya d BL taun 2018 _2021 Ampe dapat limit modal tambahan dari buka modal , tapi entah kenapa awal 2022 toko d bekukan tanpa kejelasan. Padahal ramai yg belanja ..sampe skrg tak pernah saya jualan lagi ataupun belanja. Kalah saing ma toko online lain",23,9,2024,17,9,54
Rianto Anto,5,2024-09-23 11:35:41,sangat muda beli pelatihan di buka lapak,23,9,2024,11,35,41
Saripah Sari,5,2024-09-23 10:54:54,Mantap,23,9,2024,10,54,54
Danung Puspo Sembodo,5,2024-09-23 09:53:56,Wow harga pulsa nya bisa diadu,23,9,2024,9,53,56
Untung Raharjo,5,2024-09-23 09:03:21,Mudah digunakan,23,9,2024,9,3,21
Bahagia BapakBahagia,5,2024-09-23 06:50:20,Ok,23,9,2024,6,50,20
Abdul Aziz,5,2024-09-23 05:45:39,Good,23,9,2024,5,45,39
Rain Day,5,2024-09-23 05:21:34,"Saya liat masih ada aplikasi bukalapak di hp,pas dibuka ternyata masih ada ya blm bangkrut. Susah ya bersaingnya...",23,9,2024,5,21,34
Mbah Bowo,5,2024-09-23 04:58:51,"Bagusss, banyakin lagi promo dan diskon ongkir, terimakasih dan sukses selalu bukalapak😍",23,9,2024,4,58,51
Andri Irawan,1,2024-09-23 04:06:07,Paylater by kredivonya kok jd gak ada,23,9,2024,4,6,7
Didik Supriyanto,5,2024-09-23 03:06:25,"Dengan buka lapak, mempermudah belanja👌",23,9,2024,3,6,25
yudistira Darlis,5,2024-09-23 02:51:02,"Barang sudah diterima, mantap pengiriman waktunya cepat. Tks",23,9,2024,2,51,2
Ivan Hutabarat,5,2024-09-23 00:36:29,Bagus dan bermanfaat,23,9,2024,0,36,29
syamsul arief,5,2024-09-22 23:30:14,sdh oke n8h bukalapak,22,9,2024,23,30,14
SLEMBET,1,2024-09-22 22:35:47,Login aja di persulit,22,9,2024,22,35,47
Oke Kung,5,2024-09-22 17:59:56,"BUAT LU YG BIKIN SYSTEM VERIFIKASI, SELAMAT ANDA MANGHANCURKAN BUKALAPAK, BANYAK PELAPAK TUTUP KARNA SULITNA VERIFIKASI, KTP BNER WAJAH BNER, GAGAL TRUS, 🙏 SELAMAT TINGGAL BUKALAPAK...",22,9,2024,17,59,56
Heri Crew_id,1,2024-09-22 16:01:17,saya merasa di rugikan karna saldo dana saya terkuras gara2 transaksi buka lapak pdahal saya sama sekali gk melakukan transaksi hati2 d buka lapak banyak penipuann mending ni app di tendang aj dari playsotore,22,9,2024,16,1,17
Amin Riyanto,5,2024-09-22 01:51:14,Ok,22,9,2024,1,51,14
Mingun Musta,1,2024-09-22 00:07:24,Apk paling ribet daftar seller aja ribet,22,9,2024,0,7,24
RAHMAT WAHIDIN (Memed),5,2024-09-21 19:32:12,Mantap,21,9,2024,19,32,12
Zeth Saldy Suly,5,2024-09-21 14:12:31,Mantap,21,9,2024,14,12,31
DJ Zanto MDC,5,2024-09-21 14:07:20,keren,21,9,2024,14,7,20
Edhy Suratmo,5,2024-09-21 10:22:00,Semoga makin joossss lahhh Buka lapak,21,9,2024,10,22,0
Frins Barack,5,2024-09-21 06:38:07,"Blm tau gmn untuk saya, tapi tetap saya suport baik 5bintngny",21,9,2024,6,38,7
ULLY RUSLI,5,2024-09-21 05:42:05,Jaga nama baik bukalapak agar pelanggan puas ok,21,9,2024,5,42,5
Mulyanto Yanto,5,2024-09-21 00:48:23,suka,21,9,2024,0,48,23
Farel Cell,1,2024-09-20 21:58:32,"GAK Jadi instal aplikasinya,.. Setelah di baca terlalu banyak bintang 1",20,9,2024,21,58,32
Nasrul Hakim,4,2024-09-20 19:54:53,Madep (mantap) 👍👍👍👍👍,20,9,2024,19,54,53
roedhy widjajanto,4,2024-09-20 18:41:39,Kini tinggal kenangan saat-saat kita bersama! Apa aku bisa menikmati kenangan itu lagi? Salahkah aku yg tergoda dari sicantik yg lewat itu dengan pesona yg dibawanya? Wahai siMERAH berdandanlah lagi karna ku lihat bedakmu sudah luntur gincumu sudah pudar! Perbaikilah pesonamu!,20,9,2024,18,41,39
Camang Tea,1,2024-09-20 15:50:41,Tolong perbaiki paylatternya.karena sudah tidak bisa di gunakan. Jadi kecewa & pindah ke olshop yg lain. Prioritaskan kepuasan pelanggan.,20,9,2024,15,50,41
Yogi Ismawan,2,2024-09-20 12:31:24,"Update jelek saya sering pakai BL namun versi sekarang hancur, jadi mau hapus pakai toko sebelah.silahkan perbaiki sebelum pada hapus BLnya semua pengguna. Search gak bisa lemot, chat gak muncul, transaksi gak muncul2.. Apaan",20,9,2024,12,31,24
radith petee,4,2024-09-20 12:06:52,Voucher gratis ongkir sama cashback kurang banyak,20,9,2024,12,6,52
Amar arcery,5,2024-09-20 11:28:55,lumayan,20,9,2024,11,28,55
iqin sodiqin,5,2024-09-20 11:04:42,Aplikasi nya sangat membantu tapi ongkir nya jarang ada potongan nya,20,9,2024,11,4,42
Topan Supriyadi,3,2024-09-20 08:35:06,"Saya kecewa percuma Ada Paylater tidak bisa digunakan,, saya pernah pake dan pembayaran belum pernah telat dan Skrang tidak bisa di pake. Maaf saya turunin bintang nya",20,9,2024,8,35,6
sex pistols,5,2024-09-20 07:57:04,👍👍,20,9,2024,7,57,4
Agus Tarmidi,5,2024-09-20 06:46:22,"Memang gx bisa di sampaikan dengan kata2,BL memang sungguh sangat2 membantu.Belanja barang2 lengkap,Dan bisa lewat pembayaran apa saja, jaya dan Suxses terus BL😘By:Izonk© Rangkasbitung.",20,9,2024,6,46,22
Mahesa Mahesa,1,2024-09-20 06:09:05,"Kenapa ini Bukalapak? Verifikasi dimasukin no biasa pakai jawabannya sudah terdaftar di akun lain, terus aku masukin no ke 2 yg belum pernah terdaftar diapk mana pun, tetap sama aja hasilnya. Org butuh cepat malah di buat lambat dan pusing!!!!!!!!!!!!!!",20,9,2024,6,9,5
Petro Maks88,5,2024-09-20 04:57:26,Ok,20,9,2024,4,57,26
Sukirman Kirman,5,2024-09-20 01:22:10,Ok,20,9,2024,1,22,10
Jalur Gazza,5,2024-09-20 00:25:23,Beli token listrik paling murah,20,9,2024,0,25,23
Xc Ng,5,2024-09-19 21:10:20,ok,19,9,2024,21,10,20
Viona Adeliakhansa,1,2024-09-19 20:41:42,HATI HATI TRANSAKSI DENGAN BUKALAPAK .MENDING UINSTAL AJA . AKUN BELUM PUNYA TAPI BISA HACK DANA SAYA PRIBADI ..BUKALAPAK TAIIIII,19,9,2024,20,41,42
Arii Widjaya,1,2024-09-19 15:01:39,aplikasi buruk,19,9,2024,15,1,39
Syahputra Syawaludin,5,2024-09-19 13:33:42,Kenapa Paylater 1 bulan saya tidak bisa digunakan kembali,19,9,2024,13,33,42
ody sasongko,5,2024-09-19 13:22:34,Bagus & membantu,19,9,2024,13,22,34
AL 01,1,2024-09-19 12:46:07,"Saya mau lihat saldo ko habis semua,ada transaksi saldo telah berhasil di pindahkan ke saldo mitra.notifikasinya gak ada,detail transaksinya gak ada,notifikasi melalui email juga gak ada.bahaya banget ini,bisa pada hilang saldo penjualan.kalau akun di retas biasanya ada tuh hp lain yang aktiv di riwayat login,ini gak ada.aneh bener.coba dong kalau ada transakai pemindahan saldo penjualan ke saldo mitra ada detail transaksinya,ada notifikasinya juga.Layanan Live chat juga gak ada,ini parah.",19,9,2024,12,46,7
Cms Cinwa,1,2024-09-19 09:55:55,App paling ribet,19,9,2024,9,55,55
rahmad husein,2,2024-09-19 09:34:23,"Bukadompet saya dibekukan, sudah berkali kali saya komplain tappi selalu banyak persyaratan padahal jelas jelas saya memasukkan uang dan pas mau pindahlan kedana akun anda terindikasi melakukan pelanggaran, tolong dong buat pihak buka lapak untuk meng aktifkan kembali akun bukadompet saya",19,9,2024,9,34,23
jamal lail,5,2024-09-19 08:43:53,Top dah,19,9,2024,8,43,53
Putri Zahra,1,2024-09-19 07:32:16,Kalau bagus knp ambil duit orang dari dana?? Lucu apk ini🤣🤣🤣,19,9,2024,7,32,16
